RA	DE	NormHalpha	RVHalpha	SigmHalpha	Norm[NII]6548	RV[NII]6548	Sigm[NII]6548	Norm[NII]6584	RV[NII]6584	Sigm[NII]6584	Norm[SII]6717	RV[SII]6717	Sigm[SII]6717	Norm[SII]6731	RV[SII]6731	Sigm[SII]6731
131.418	17.3	1279	-286.9192345	10.7573349	92.19	-289.0328186	8.45374918	276.6	-264.725945	8.313029837	207.1	-243.815352	3.774973303	143.3	-269.9954099	3.629275387
130.077	17.3	1431	-287.513081	10.51689681	98.83	-288.8038998	10.00915023	296.5	-264.4982434	9.875177309	217.3	-243.8599905	6.868350466	158.5	-270.0399489	6.778560091
128.736	17.3	1605	-288.8378156	11.09466498	93.98	-291.8714111	10.13187298	281.9	-267.5494455	9.998233605	238.2	-245.1545063	4.426299943	157.1	-271.3315799	4.299949555
124.713	17.3	3245	-284.6808899	8.304084395	170.2	-287.109901	9.057075399	510.6	-262.8132511	8.919594367	398.1	-240.6013818	4.358409361	278.8	-266.788602	4.230345415
120.69	17.3	5460	-281.5746157	5.232641846	263.9	-284.3170922	5.946065009	791.8	-260.0352909	5.777476446	462	-238.3248195	4.624461286	324.7	-264.5171131	4.502787183
119.349	17.3	4392	-275.6361504	15.74273123	228.8	-281.6616347	8.105705698	686.5	-257.3939517	7.96267397	471.2	-235.735788	3.852411009	335.3	-261.9338511	3.709401218
118.008	17.3	3752	-272.6212373	11.94191968	224.5	-277.1748271	8.6579574	673.6	-252.9309992	8.518436359	422.4	-230.6470018	5.518175452	324	-256.8564053	5.41288783
116.667	17.3	2648	-270.6569757	9.326727821	131.9	-275.6639633	12.62575515	395.8	-251.4281683	12.49470379	294.5	-231.0487481	11.11598312	199.7	-257.2572563	11.04534407
115.326	17.3	2565	-269.8804071	14.37629853	144.8	-275.0687746	17.15189928	434.3	-250.836144	17.01370723	342.4	-230.1559786	16.63570023	250.7	-256.3664763	16.56801435
112.644	17.3	3432	-264.0789834	7.490254177	221.3	-267.9722932	8.624148863	664	-243.7773927	8.484437028	498.7	-221.6300298	3.274391443	359.7	-247.8595276	3.107823345
108.621	17.3	1589	-279.1078686	34.37021078	119.3	-266.7819157	10.25371706	357.9	-242.5933441	10.12038521	288.1	-219.1302752	5.118590976	209.2	-245.3653436	5.006794413
107.28	17.3	3013	-288.4723715	26.02123001	102.8	-279.8302847	26.49823672	308.5	-255.5723384	26.32695481	253.9	-227.3883931	18.99817926	172.6	-253.6050584	18.92904124
105.939	17.3	3040	-276.1386359	15.24811861	130.8	-273.9241808	12.94941006	392.3	-249.6976357	12.81824348	310.8	-226.6741775	10.26255756	215.7	-252.8924344	10.18998821
104.598	17.3	1820	-267.41366	10.89310578	101.4	-268.018077	10.16241514	304.1	-243.822933	10.02885503	237	-221.5853913	2.994487197	189.3	-247.8149886	2.812773027
103.257	17.3	962.7	-268.7840751	23.36113264	53.24	-272.0928308	14.89595154	159.7	-247.8760225	14.76261134	143	-221.6746683	12.91394742	89.57	-247.9040666	12.84570876
101.916	17.3	1192	-270.9767392	20.62799202	52.88	-275.0229908	15.02178817	158.6	-250.7906037	14.88823412	139.3	-225.1564693	10.72771736	93.9	-251.3781085	10.65627623
100.575	17.3	2704	-271.7076272	8.628517161	108.7	-274.5193696	10.64400521	326	-250.28966	10.51150954	251.7	-227.4330316	7.138757403	185.9	-253.6495974	7.051215036
97.893	17.3	3787	-273.9459718	10.30776802	239.3	-277.4495296	10.82138291	717.8	-253.2042412	10.68919712	548.1	-230.8701942	6.445257247	417.3	-257.0791003	6.351461057
96.552	17.3	2312	-282.2598232	14.00223398	156.9	-287.7966573	15.17223702	470.6	-263.4963561	15.03841733	366.6	-240.6906587	13.88540699	263.4	-266.87768	13.81777177
95.211	17.3	2302	-284.4981679	12.32028238	163.2	-289.3075211	12.27050441	489.7	-264.999187	12.13948124	357.3	-244.1278213	10.69494412	227.9	-270.3071829	10.62342971
93.87	17.3	1822	-287.1019565	11.87813123	143.9	-292.3750324	12.24296669	431.8	-268.0503892	12.11194116	332.2	-245.9579988	9.24896181	231.7	-272.1332818	9.173173572
92.529	17.3	865	-287.9242055	15.60612729	76.8	-293.1075724	12.51697729	230.4	-268.7790345	12.38594586	208.2	-245.3776986	10.19493787	142.5	-271.5542748	10.12218795
91.188	17.3	642	-285.2747364	14.34771313	53.9	-292.6497349	12.51697729	161.7	-268.3236312	12.38594586	180.7	-244.4402906	7.401037759	103.8	-270.6189559	7.315473896
89.847	17.3	409.2	-280.2042006	17.18379206	34.69	-286.6062798	17.34292354	104.1	-262.3123075	17.20423496	96.3	-241.6727052	15.27791424	63.08	-267.857538	15.21052779
88.506	17.3	286.7	-273.5805278	19.20038068	19.42	-281.2495809	25.91831588	58.26	-256.9840887	25.74943628	63.75	-233.4145873	18.63349583	40.42	-259.6178232	18.56464521
87.165	17.3	383.7	-269.4236021	12.66094487	23.11	-275.3892608	18.40500013	69.33	-251.1549263	18.26335363	75.04	-225.2457463	11.27516983	50.13	-251.4671865	11.20482623
85.824	17.3	226	-272.0730713	14.80150734	15.37	-280.7917434	20.47615541	46.11	-256.5286854	20.32793577	58.71	-227.1205622	10.79306522	36.66	-253.3378244	10.72176753
84.483	17.3	122.6	-287.3760395	22.35222512	14	-292.3292486	15.02178817	41.99	-268.0048489	14.88823412	30.02	-247.9220917	24.07734757	22.8	-274.0929978	24.00254996
81.801	17.3	97.47	-290.0255086	20.09100585	6.751	-296.2666512	28.75458615	20.25	-271.9213173	28.5736956	15.4	-242.4761977	41.61699808	9.731	-268.6592399	41.51202714
80.46	17.3	65.09	-292.7663388	30.6923876	5.948	-271.5434258	41.1627212	17.84	-247.3295385	40.92430838	21.77	-259.6173722	13.29008126	11.69	-285.8067544	13.22212446
79.119	17.3	132.8	-284.5438484	24.31078977	6.151	-264.1722419	50.30759136	18.45	-239.9975452	50.024115	21.96	-229.8435092	40.99117208	10.11	-256.0992423	40.88740905
77.778	17.3	613.1	-283.7672798	14.08903725	38.96	-284.0881735	15.57060195	116.9	-259.8075892	15.43602878	95.02	-238.5033734	13.82931955	63.41	-264.6952691	13.76166011
76.437	17.3	1495	-283.1734333	12.13201751	103.9	-286.2857935	12.38034824	311.7	-261.9935251	12.24932784	298.5	-239.9318046	9.28521336	195.5	-266.120517	9.209561047
75.096	17.3	1844	-276.4583995	10.9941932	149.2	-280.1507709	12.27050441	447.5	-255.8911208	12.13948124	448.9	-233.6377796	7.138757403	301.7	-259.8405182	7.051215036
